,dataset,user_vector,content_vector,alg_type,CF_CB,N,rating_stdev,item_coverage,serendipity,user_coverage,pred_n,avg_mean_rank,pred_coverage,novelty,cat_diversity,avg_highest_rank,mae,avg_lowest_rank,content_serendipity,rmse,cat_coverage,ils,rmse_adj,mae_adj,users,items,ratings,rating_min,rating_max,rating_mean,density,rating_variance
10,movielens_1m,ratings_to_interact,genre,cb_vect,CB,100,0.740000403,99.97424672,0.218245524,100,0.011704775,46.73657716,6.999730434,-1.367433323,0.21086743,34.14250233,0.552580124,59.45638001,0.198878633,0.684127286,2.698327037,0.175820463,3.172580749,3.068911288,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
11,movielens_1m,ratings_to_interact,genre,cf_mllib,CB,100,0.740000403,94.28277105,0.238648668,100,0.004739408,51.08527958,2.83543495,-1.043976389,0.144016148,44.3189887,0.100318643,57.74556213,0.36842651,0.424146362,2.698327037,0.742139154,4.390808477,4.774710442,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
12,movielens_1m,ratings_to_interact,genre,cf_item,CF,100,0.740000403,94.87509657,0.286285301,100,0.002950572,65.88524322,1.751180599,-0.866267934,0.145352363,60.85927152,0.19178185,70.80711921,0.363537407,0.386306736,2.698327037,0.725924194,4.568118722,4.429737751,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
13,movielens_1m,ratings_to_interact,tags,cb_vect,CB,100,0.740000403,75.61164048,0.107324537,100,0.026387021,42.85998767,15.67676042,-0.564426294,0.459255547,23.55242437,0.831978351,63.59697472,0.608774692,0.84690093,2.698327037,0.704129015,2.409850299,2.015102199,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
15,movielens_1m,ratings_to_interact,genre,cf_item,CF,1000,0.740000403,95.18413598,0.093957657,100,0.009729153,568.5212556,57.77398389,-0.65072833,0.164822472,296.6964286,0.295651858,839.4352453,0.368084529,0.49825794,26.98327037,0.756778653,4.043533847,4.037970203,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
16,movielens_1m,ratings_to_interact,tags,cb_vect,CB,1000,0.740000403,100,0.094904186,100,0.010374412,313.7990877,61.59483232,-1.031458848,0.228166757,70.04905336,1.016532691,667.5091222,0.64586547,1.037724268,26.98327037,0.795288407,1.515683613,1.319016749,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
19,movielens_1m,ratings_to_interact,tags,cb_kmeans_1000,CB,1000,0.740000403,98.35178985,0.114712926,100,0.008203934,272.6462745,48.71856311,-1.170877288,0.188859337,71.26231244,1.101114154,572.1306267,0.671989043,1.147775861,26.71343767,0.846516736,1,1,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
30,movielens_1m,ratings_to_interact,tags,cb_kmeans_100,CB,100,0.740000403,62.96677826,0.178446906,100,0.013586079,35.23569694,8.068010503,-0.929555369,0.252596619,23.41381156,1.060631767,48.01204497,0.635102655,1.100346963,2.671343767,0.749829049,1.222243992,1.152687824,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
31,movielens_1m,ratings_to_interact,genre,cf_user,CF,100,0.740000403,72.36672676,0.111163541,100,0.003011096,50.80700268,1.802098621,-0.600185486,0.132706513,42.7323818,0.040587233,58.59143622,0.371260114,0.294139327,2.698327037,0.705652369,5,5,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
36,movielens_1m,ratings_to_interact,genre,cb_kmeans_1000,CB,1000,0.740000403,70.82152975,0.140200156,100,0.006213181,379.2926705,36.89659648,-1.397822609,0.181815097,154.1100698,0.855952048,638.8781698,0.309025576,0.931490424,26.98327037,0.677605005,2.013477882,1.924680367,6040,3706,1000209,-1,1,0.672606425,0.044683626,0.547600597
