,dataset,user_vector,content_vector,alg_type,CF_CB,N,rating_stdev,item_coverage,serendipity,user_coverage,pred_n,avg_mean_rank,pred_coverage,novelty,cat_diversity,avg_highest_rank,mae,avg_lowest_rank,content_serendipity,rmse,cat_coverage,ils,rmse_adj,mae_adj,users,items,ratings,rating_min,rating_max,rating_mean,density,rating_variance
83,jester,ratings_to_interact,glove,cb_vect,CB,1000,0.975425458,86.66666667,0.281321527,100,0.004570077,66.33171441,88.25079543,-3.976309316,143.292438,35.01466029,0.832955558,99.24587484,0.038023951,0.937305651,86.66666667,0.056154274,1.204309687,1.031063556,124112,150,5848803,-1,1,0.220329698,0.31416801,0.951454824
85,jester,ratings_to_interact,glove,cf_mllib,CF,1000,0.975425458,100,0.262697819,100,0.00517851,71.22562998,100,-3.614788209,118.730402,32.77594212,0.668237457,112.6443764,0.039472795,0.875817033,100,0.059341099,3.799806208,4.38998674,124112,150,5848803,-1,1,0.220329698,0.31416801,0.951454824
88,jester,ratings_to_interact,glove,cb_vect,CB,100,0.975425458,86.66666667,0.279953911,100,0.035632844,51.44944172,68.80905984,-4.731649842,172.4249541,30.52738065,0.824569037,72.80464098,0.037335758,0.933205146,66.66666667,0.053944707,1.377396162,1.202081061,124112,150,5848803,-1,1,0.220329698,0.31416801,0.951454824
89,jester,ratings_to_interact,glove,cb_kmeans_100,CB,100,0.975425458,86.66666667,0.295055819,100,0.036344798,52.71750896,70.183885,-4.853232347,167.1802716,31.3137233,0.834478882,74.41267755,0.037769319,0.942145851,66,0.055007363,1,1,124112,150,5848803,-1,1,0.220329698,0.31416801,0.951454824
75,jester,ratings,glove,cf_mllib,CF,1000,5.311384005,100,0.252509335,100,0.005164532,71.39678132,100,-3.614788209,118.730402,34.47620938,3.317423253,110.7593592,0.039621137,4.374857674,100,0.059341099,4.577307626,4.543635291,124112,150,5848803,-10,10,1.014634639,0.31416801,28.21080005
78,jester,ratings,glove,cb_kmeans_1000,CB,1000,5.311384005,86.66666667,0.271549646,100,0.004558352,66.32628351,88.26263254,-3.979352396,143.292438,35.18036996,4.36604043,99.12854023,0.0381726,5.590866284,86.66666667,0.056154274,1.199457937,1.153176733,124112,150,5848803,-10,10,1.014634639,0.31416801,28.21080005
80,jester,ratings,glove,cb_kmeans_100,CB,100,5.311384005,86.66666667,0.293818442,100,0.034723898,50.37182772,67.23532466,-4.854091365,166.2928642,30.5606092,4.41341566,70.62640486,0.037861735,5.662670121,65.33333333,0.054876704,1,1,124112,150,5848803,-10,10,1.014634639,0.31416801,28.21080005
82,jester,ratings,glove,cb_vect,CB,100,5.311384005,86.66666667,0.272537687,100,0.035545499,51.45223211,68.82617785,-4.730574456,172.3818757,30.66768718,4.36624246,72.76500622,0.037592134,5.598035403,66.66666667,0.054202082,1.179543434,1.152523515,124112,150,5848803,-10,10,1.014634639,0.31416801,28.21080005
84,jester,ratings,glove,cf_mllib,CF,100,5.311384005,100,0.231755991,100,0.036625825,48.91562909,70.91799437,-1.985685517,129.5624559,27.24872477,3.176276602,71.44530572,0.037653059,4.222690581,66.66666667,0.055029622,5,5,124112,150,5848803,-10,10,1.014634639,0.31416801,28.21080005
87,jester,ratings,glove,cb_vect,CB,1000,5.311384005,86.66666667,0.271570885,100,0.004558352,66.30197862,88.26263254,-3.979352396,143.292438,35.15947404,4.366186875,99.110078,0.0381726,5.591040816,86.66666667,0.056154274,1.198973118,1.152703237,124112,150,5848803,-10,10,1.014634639,0.31416801,28.21080005
90,git,num_interact,py2vec,cf_item,CF,1000,19.65904852,91.94961665,0.215012625,98.92473118,0.00043,563.3258333,6.591722024,-1.403410099,9.25E-05,495.9142857,6.526477487,627.8142857,0.790857662,16.71110688,10.83512937,0.891932667,5,5,465,9130,19172,1,790,4.654756937,0.004515893,386.4781888
93,git,num_interact,py2vec,cb_kmeans_100,CB,100,19.65904852,6.812705367,0.247011785,88.8172043,0.0006,60.05882353,0.919775166,-1.406684058,0.006331294,59,312.8338331,61.11764706,0.747645223,323.2867914,0.963078119,0.669653494,2.54731851,2.593459095,465,9130,19172,1,790,4.654756937,0.004515893,386.4781888
94,git,num_interact,py2vec,cf_user,CF,1000,19.65904852,91.94961665,0.059011872,98.92473118,0.00178,424.4849055,27.28666326,-0.403529219,0.000155258,328.04329,10.68207186,524.5367965,0.795188194,29.87633935,10.83512937,0.899298244,4.894674876,4.967351069,465,9130,19172,1,790,4.654756937,0.004515893,386.4781888
95,git,num_interact,py2vec,cf_mllib,CF,1000,19.65904852,91.94961665,0.086252359,98.92473118,0.001946667,251.2633645,29.84159428,-0.878134358,0.000248659,140.3125,8.295794883,390.7692308,0.790969297,19.62499398,10.83512937,0.897689849,4.976688181,4.986099143,465,9130,19172,1,790,4.654756937,0.004515893,386.4781888
97,git,num_interact,py2vec,cb_kmeans_1000,CB,1000,19.65904852,17.53559693,0.184993394,88.8172043,0.000993333,434.7362023,15.22738886,-1.300961475,0.003451779,366.1418919,370.0925474,503.3716216,0.761148297,380.0426777,8.88172043,0.800111171,2.093257347,2.143599059,465,9130,19172,1,790,4.654756937,0.004515893,386.4781888
98,git,num_interact,py2vec,cb_vect,CB,1000,19.65904852,18.29134721,0.164904839,88.8172043,0.001136667,478.0015238,17.42462954,-1.32735938,0.00360642,388.6710526,389.5680179,565.0723684,0.747881831,395.21257,9.728061807,0.755242278,1.971894447,1.990587661,465,9130,19172,1,790,4.654756937,0.004515893,386.4781888
100,git,num_interact,py2vec,cf_mllib,CF,100,19.65904852,27.97371303,0.054591553,98.92473118,0.0061,42.56935897,9.351047522,-0.174793421,0.000216476,38.13076923,16.82171086,47.17692308,0.79773953,30.95941352,1.083512937,0.908139656,4.886010014,4.91911425,465,9130,19172,1,790,4.654756937,0.004515893,386.4781888
102,git,num_interact,py2vec,cf_item,CF,100,19.65904852,86.40744797,0.28994596,98.92473118,0.0002,57,0.459887583,-1.415187017,0.000127705,56.83333333,8.037606875,57.16666667,0.789907245,25.16320776,1.083512937,0.888815492,4.932381097,4.988127629,465,9130,19172,1,790,4.654756937,0.004515893,386.4781888
106,git,num_interact,py2vec,cb_vect,CB,100,19.65904852,9.255202629,0.302173476,88.8172043,0.000766667,71.91666667,1.175268268,-1.295789652,0.007068788,71.2,515.65118,72.4,0.724057911,516.6956108,0.972806181,0.57802978,1,1,465,9130,19172,1,790,4.654756937,0.004515893,386.4781888
109,git,num_interact,py2vec,cf_user,CF,100,19.65904852,16.46221249,0.017535212,98.92473118,0.0015,57.78070175,2.299437915,-0.051719732,0.000158025,53.81578947,38.15070748,61.76315789,0.805969797,48.33454794,1.083512937,0.914463895,4.747004631,4.7515404,465,9130,19172,1,790,4.654756937,0.004515893,386.4781888
96,git,any_interact,py2vec,cf_mllib,CF,1000,0,82.63964951,0.28444803,98.92473118,0.00289,139.484271,44.30250383,-1.443349137,0.000286248,59.08429119,0.805684572,274.5172414,0.78068704,0.827878799,10.83512937,0.894873936,1,1,465,9130,19172,1,1,1,0.004515893,0
101,git,any_interact,py2vec,cb_vect,CB,1000,0,18.29134721,0.371343341,88.8172043,0.001063333,454.8086107,16.30045989,-1.443355602,0.003605167,379.4437086,0.465120672,525.2384106,0.745911372,0.472676501,9.728061807,0.751860893,3.774449416,3.752665496,465,9130,19172,1,1,1,0.004515893,0
103,git,any_interact,py2vec,cb_vect,CB,100,0,9.047097481,0.493885619,88.8172043,0.0008,73.25,1.226366888,-1.227751268,0.007048428,72.09090909,0.310798578,74.40909091,0.720270227,0.31577388,0.972806181,0.572490983,5,5,465,9130,19172,1,1,1,0.004515893,0
107,git,any_interact,py2vec,cf_mllib,CF,100,0,12.10295728,0.349166474,98.92473118,0.016633333,29.98279788,25.49821155,-1.463692049,0.000751683,18.94323144,0.734250022,43.33624454,0.761727046,0.763583504,1.083512937,0.88876268,1.50220408,1.577381875,465,9130,19172,1,1,1,0.004515893,0
91,git,any_interact,py2vec,cf_item,CF,100,0,90.47097481,0.601260718,98.92473118,0.000733333,53.17647059,0.868676546,-1.441590421,0.000144934,53.17647059,0,53.17647059,0.787829344,0,1.083512937,0.890545921,3,3,465,9130,19172,1,1,1,0.004515893,0
92,git,any_interact,py2vec,cb_kmeans_1000,CB,1000,0,17.52464403,0.437945355,88.8172043,0.00098,468.2578294,15.02299438,-1.424686886,0.003517892,386.7957746,0,549.1760563,0.758850483,0,8.77471175,0.794387315,3,3,465,9130,19172,1,1,1,0.004515893,0
99,git,any_interact,py2vec,cf_item,CF,1000,0,91.93866375,0.402533863,98.92473118,0.00053,448.197449,8.226877874,-1.434996727,0.000137711,369.4591837,0,521.2653061,0.790763626,0,10.83512937,0.891819696,3,3,465,9130,19172,1,1,1,0.004515893,0
104,git,any_interact,py2vec,cb_kmeans_100,CB,100,0,7.196056955,0.461075462,88.8172043,0.000733333,48.81578947,1.124169647,-1.349115057,0.005458249,46.84210526,0,51.42105263,0.74124255,0,0.963078119,0.695576223,3,3,465,9130,19172,1,1,1,0.004515893,0
105,git,any_interact,py2vec,cf_user,CF,100,0,90.39430449,0.446481907,98.92473118,0.000566667,44,0.868676546,-1.474773012,0.00012126,42.16666667,0,45.83333333,0.793297355,0,1.083512937,0.89174675,3,3,465,9130,19172,1,1,1,0.004515893,0
108,git,any_interact,py2vec,cf_user,CF,1000,0,91.94961665,0.406975671,98.92473118,0.000496667,485.9816017,7.920286152,-1.440104412,0.00011533,428.3737374,0,544.1717172,0.791082126,0,10.83512937,0.891972952,3,3,465,9130,19172,1,1,1,0.004515893,0
